site_spp_slug,site_slug,commonName,scientificName,spp_slug,spring,summer,fall,winter,season
rachel-carson-reserve-vermivora-celata,rachel-carson-reserve,Orange-crowned Warbler,Vermivora celata,vermivora-celata,2,0,2,4,2024
rachel-carson-reserve-parula-americana,rachel-carson-reserve,Northern Parula,Parula americana,parula-americana,0,0,2,0,0020
rachel-carson-reserve-dendroica-petechia,rachel-carson-reserve,Yellow Warbler,Dendroica petechia,dendroica-petechia,2,2,2,0,2220
rachel-carson-reserve-dendroica-magnolia,rachel-carson-reserve,Magnolia Warbler,Dendroica magnolia,dendroica-magnolia,0,0,2,0,0020
rachel-carson-reserve-dendroica-tigrina,rachel-carson-reserve,Cape May Warbler,Dendroica tigrina,dendroica-tigrina,0,0,2,0,0020
rachel-carson-reserve-dendroica-caerulescens,rachel-carson-reserve,Black-throated Blue Warbler,Dendroica caerulescens,dendroica-caerulescens,0,0,2,0,0020
rachel-carson-reserve-dendroica-coronata,rachel-carson-reserve,Yellow-rumped Warbler,Dendroica coronata,dendroica-coronata,4,0,4,5,4045
rachel-carson-reserve-dendroica-pinus,rachel-carson-reserve,Pine Warbler,Dendroica pinus,dendroica-pinus,0,0,2,2,0022
rachel-carson-reserve-dendroica-discolor,rachel-carson-reserve,Prairie Warbler,Dendroica discolor,dendroica-discolor,2,2,3,0,2230
rachel-carson-reserve-dendroica-palmarum,rachel-carson-reserve,Palm Warbler,Dendroica palmarum,dendroica-palmarum,2,0,4,3,2043
rachel-carson-reserve-dendroica-striata,rachel-carson-reserve,Blackpoll Warbler,Dendroica striata,dendroica-striata,2,0,2,0,2020
rachel-carson-reserve-mniotilta-varia,rachel-carson-reserve,Black-and-white Warbler,Mniotilta varia,mniotilta-varia,0,0,2,0,0020
rachel-carson-reserve-setophaga-ruticilla,rachel-carson-reserve,American Redstart,Setophaga ruticilla,setophaga-ruticilla,0,2,3,0,0230
rachel-carson-reserve-protonotaria-citrea,rachel-carson-reserve,Prothonotary Warbler,Protonotaria citrea,protonotaria-citrea,0,1,0,0,0100
rachel-carson-reserve-seiurus-noveboracensis,rachel-carson-reserve,Northern Waterthrush,Seiurus noveboracensis,seiurus-noveboracensis,0,2,2,0,0220
rachel-carson-reserve-geothlypis-trichas,rachel-carson-reserve,Common Yellowthroat,Geothlypis trichas,geothlypis-trichas,2,2,4,3,2243
rachel-carson-reserve-icteria-virens,rachel-carson-reserve,Yellow-breasted Chat,Icteria virens,icteria-virens,2,2,2,0,2220
rachel-carson-reserve-cardinalis-cardinalis,rachel-carson-reserve,Northern Cardinal,Cardinalis cardinalis,cardinalis-cardinalis,5,5,5,5,5555
rachel-carson-reserve-passerina-caerulea,rachel-carson-reserve,Blue Grosbeak,Passerina caerulea,passerina-caerulea,2,2,2,0,2220
rachel-carson-reserve-passerina-cyanea,rachel-carson-reserve,Indigo Bunting,Passerina cyanea,passerina-cyanea,2,2,3,0,2230
rachel-carson-reserve-passerina-ciris,rachel-carson-reserve,Painted Bunting,Passerina ciris,passerina-ciris,4,3,2,0,4320
rachel-carson-reserve-bonasa-umbellus,rachel-carson-reserve,Ruffed Grouse,Bonasa umbellus,bonasa-umbellus,5,5,5,5,5555
