site_spp_slug,site_slug,commonName,scientificName,spp_slug,spring,summer,fall,winter,season,aou,bnc
brevard-hike-and-bike-path-including-hospital-fields-coragyps-atratus,brevard-hike-and-bike-path-including-hospital-fields,Black Vulture,Coragyps atratus,coragyps-atratus,2,2,2,3,2223,255,152
brevard-hike-and-bike-path-including-hospital-fields-corvus-brachyrhynchos,brevard-hike-and-bike-path-including-hospital-fields,American Crow,Corvus brachyrhynchos,corvus-brachyrhynchos,5,5,5,5,5555,1296,391
brevard-hike-and-bike-path-including-hospital-fields-cyanocitta-cristata,brevard-hike-and-bike-path-including-hospital-fields,Blue Jay,Cyanocitta cristata,cyanocitta-cristata,5,5,5,5,5555,1270,390
brevard-hike-and-bike-path-including-hospital-fields-setophaga-caerulescens,brevard-hike-and-bike-path-including-hospital-fields,Black-throated Blue Warbler,Setophaga caerulescens,setophaga-caerulescens,4,4,5,0,4450,1549,454
brevard-hike-and-bike-path-including-hospital-fields-setophaga-castanea,brevard-hike-and-bike-path-including-hospital-fields,Bay-breasted Warbler,Setophaga castanea,setophaga-castanea,3,0,4,0,3040,1568,466
brevard-hike-and-bike-path-including-hospital-fields-setophaga-coronata,brevard-hike-and-bike-path-including-hospital-fields,Yellow-rumped Warbler,Setophaga coronata,setophaga-coronata,5,0,5,2,5052,1550,455
brevard-hike-and-bike-path-including-hospital-fields-setophaga-discolor,brevard-hike-and-bike-path-including-hospital-fields,Prairie Warbler,Setophaga discolor,setophaga-discolor,2,0,2,0,2020,1565,464
brevard-hike-and-bike-path-including-hospital-fields-setophaga-dominica,brevard-hike-and-bike-path-including-hospital-fields,Yellow-throated Warbler,Setophaga dominica,setophaga-dominica,2,2,2,0,2220,1557,461
brevard-hike-and-bike-path-including-hospital-fields-setophaga-fusca,brevard-hike-and-bike-path-including-hospital-fields,Blackburnian Warbler,Setophaga fusca,setophaga-fusca,4,0,4,0,4040,1556,460
brevard-hike-and-bike-path-including-hospital-fields-setophaga-magnolia,brevard-hike-and-bike-path-including-hospital-fields,Magnolia Warbler,Setophaga magnolia,setophaga-magnolia,2,0,5,0,2050,1547,452
brevard-hike-and-bike-path-including-hospital-fields-setophaga-palmarum,brevard-hike-and-bike-path-including-hospital-fields,Palm Warbler,Setophaga palmarum,setophaga-palmarum,2,0,4,0,2040,1567,465
brevard-hike-and-bike-path-including-hospital-fields-setophaga-pensylvanica,brevard-hike-and-bike-path-including-hospital-fields,Chestnut-sided Warbler,Setophaga pensylvanica,setophaga-pensylvanica,4,0,4,0,4040,1546,451
brevard-hike-and-bike-path-including-hospital-fields-setophaga-petechia,brevard-hike-and-bike-path-including-hospital-fields,Yellow Warbler,Setophaga petechia,setophaga-petechia,2,0,2,0,2020,1545,450
brevard-hike-and-bike-path-including-hospital-fields-setophaga-pinus,brevard-hike-and-bike-path-including-hospital-fields,Pine Warbler,Setophaga pinus,setophaga-pinus,2,2,2,0,2220,1563,462
brevard-hike-and-bike-path-including-hospital-fields-setophaga-striata,brevard-hike-and-bike-path-including-hospital-fields,Blackpoll Warbler,Setophaga striata,setophaga-striata,5,0,3,0,5030,1569,467
brevard-hike-and-bike-path-including-hospital-fields-setophaga-tigrina,brevard-hike-and-bike-path-including-hospital-fields,Cape May Warbler,Setophaga tigrina,setophaga-tigrina,4,0,5,0,4050,1548,453
brevard-hike-and-bike-path-including-hospital-fields-setophaga-virens,brevard-hike-and-bike-path-including-hospital-fields,Black-throated Green Warbler,Setophaga virens,setophaga-virens,4,4,5,0,4450,1553,458
brevard-hike-and-bike-path-including-hospital-fields-dryocopus-pileatus,brevard-hike-and-bike-path-including-hospital-fields,Pileated Woodpecker,Dryocopus pileatus,dryocopus-pileatus,2,2,2,2,2222,985,362
brevard-hike-and-bike-path-including-hospital-fields-dumetella-carolinensis,brevard-hike-and-bike-path-including-hospital-fields,Gray Catbird,Dumetella carolinensis,dumetella-carolinensis,5,5,5,0,5550,1485,422
brevard-hike-and-bike-path-including-hospital-fields-empidonax-virescens,brevard-hike-and-bike-path-including-hospital-fields,Acadian Flycatcher,Empidonax virescens,empidonax-virescens,2,2,2,0,2220,1139,367
brevard-hike-and-bike-path-including-hospital-fields-euphagus-carolinus,brevard-hike-and-bike-path-including-hospital-fields,Rusty Blackbird,Euphagus carolinus,euphagus-carolinus,3,0,3,0,3030,1784,533
brevard-hike-and-bike-path-including-hospital-fields-falco-peregrinus,brevard-hike-and-bike-path-including-hospital-fields,Peregrine Falcon,Falco peregrinus,falco-peregrinus,3,3,3,0,3330,331,211
brevard-hike-and-bike-path-including-hospital-fields-falco-sparverius,brevard-hike-and-bike-path-including-hospital-fields,American Kestrel,Falco sparverius,falco-sparverius,0,0,3,0,0030,323,209
brevard-hike-and-bike-path-including-hospital-fields-geothlypis-trichas,brevard-hike-and-bike-path-including-hospital-fields,Common Yellowthroat,Geothlypis trichas,geothlypis-trichas,5,5,5,0,5550,1587,480
brevard-hike-and-bike-path-including-hospital-fields-haliaeetus-leucocephalus,brevard-hike-and-bike-path-including-hospital-fields,Bald Eagle,Haliaeetus leucocephalus,haliaeetus-leucocephalus,3,0,3,0,3030,270,198
brevard-hike-and-bike-path-including-hospital-fields-helmitheros-vermivorum,brevard-hike-and-bike-path-including-hospital-fields,Worm-eating Warbler,Helmitheros vermivorum,helmitheros-vermivorum,2,2,2,0,2220,1578,472
brevard-hike-and-bike-path-including-hospital-fields-hirundo-rustica,brevard-hike-and-bike-path-including-hospital-fields,Barn Swallow,Hirundo rustica,hirundo-rustica,5,5,2,0,5520,1331,389
brevard-hike-and-bike-path-including-hospital-fields-hylocichla-mustelina,brevard-hike-and-bike-path-including-hospital-fields,Wood Thrush,Hylocichla mustelina,hylocichla-mustelina,5,5,5,0,5550,1455,420
brevard-hike-and-bike-path-including-hospital-fields-icteria-virens,brevard-hike-and-bike-path-including-hospital-fields,Yellow-breasted Chat,Icteria virens,icteria-virens,3,0,3,0,3030,1618,484
brevard-hike-and-bike-path-including-hospital-fields-icterus-galbula,brevard-hike-and-bike-path-including-hospital-fields,Baltimore Oriole,Icterus galbula,icterus-galbula,2,0,4,0,2040,1817,540
