site_spp_slug,site_slug,commonName,scientificName,spp_slug,spring,summer,fall,winter,season,aou,bnc
high-hampton-inn-and-country-club-turdus-migratorius,high-hampton-inn-and-country-club,American Robin,Turdus migratorius,turdus-migratorius,5,5,5,4,5554,1472,421
high-hampton-inn-and-country-club-oreothlypis-celata,high-hampton-inn-and-country-club,Orange-crowned Warbler,Oreothlypis celata,oreothlypis-celata,3,0,0,0,3000,1536,447
high-hampton-inn-and-country-club-vermivora-chrysoptera,high-hampton-inn-and-country-club,Golden-winged Warbler,Vermivora chrysoptera,vermivora-chrysoptera,3,0,3,0,3030,1534,445
high-hampton-inn-and-country-club-oreothlypis-peregrina,high-hampton-inn-and-country-club,Tennessee Warbler,Oreothlypis peregrina,oreothlypis-peregrina,2,0,4,0,2040,1535,446
high-hampton-inn-and-country-club-vermivora-cyanoptera,high-hampton-inn-and-country-club,Blue-winged Warbler,Vermivora cyanoptera,vermivora-cyanoptera,3,0,3,0,3030,1533,444
high-hampton-inn-and-country-club-oreothlypis-ruficapilla,high-hampton-inn-and-country-club,Nashville Warbler,Oreothlypis ruficapilla,oreothlypis-ruficapilla,3,0,3,0,3030,1537,448
high-hampton-inn-and-country-club-vireo-flavifrons,high-hampton-inn-and-country-club,Yellow-throated Vireo,Vireo flavifrons,vireo-flavifrons,2,2,2,0,2220,1247,438
high-hampton-inn-and-country-club-vireo-olivaceus,high-hampton-inn-and-country-club,Red-eyed Vireo,Vireo olivaceus,vireo-olivaceus,4,4,4,0,4440,1257,441
high-hampton-inn-and-country-club-vireo-philadelphicus,high-hampton-inn-and-country-club,Philadelphia Vireo,Vireo philadelphicus,vireo-philadelphicus,0,0,3,0,0030,1256,440
high-hampton-inn-and-country-club-vireo-solitarius,high-hampton-inn-and-country-club,Blue-headed Vireo,Vireo solitarius,vireo-solitarius,4,4,4,0,4440,1250,437
high-hampton-inn-and-country-club-cardellina-canadensis,high-hampton-inn-and-country-club,Canada Warbler,Cardellina canadensis,cardellina-canadensis,4,4,2,0,4420,1602,483
high-hampton-inn-and-country-club-setophaga-citrina,high-hampton-inn-and-country-club,Hooded Warbler,Setophaga citrina,setophaga-citrina,2,2,2,0,2220,1600,481
high-hampton-inn-and-country-club-cardellina-pusilla,high-hampton-inn-and-country-club,Wilson's Warbler,Cardellina pusilla,cardellina-pusilla,1,0,1,0,1010,1601,482
high-hampton-inn-and-country-club-zenaida-macroura,high-hampton-inn-and-country-club,Mourning Dove,Zenaida macroura,zenaida-macroura,5,5,5,5,5555,556,322
high-hampton-inn-and-country-club-zonotrichia-albicollis,high-hampton-inn-and-country-club,White-throated Sparrow,Zonotrichia albicollis,zonotrichia-albicollis,5,0,4,5,5045,1726,520
jordan-lake-state-recreation-area-new-hope-accipiter-cooperii,jordan-lake-state-recreation-area-new-hope,Cooper's Hawk,Accipiter cooperii,accipiter-cooperii,2,0,2,2,2022,279,201
jordan-lake-state-recreation-area-new-hope-accipiter-striatus,jordan-lake-state-recreation-area-new-hope,Sharp-shinned Hawk,Accipiter striatus,accipiter-striatus,2,0,2,2,2022,278,200
jordan-lake-state-recreation-area-new-hope-actitis-macularius,jordan-lake-state-recreation-area-new-hope,Spotted Sandpiper,Actitis macularius,actitis-macularius,2,0,2,0,2020,397,244
jordan-lake-state-recreation-area-new-hope-agelaius-phoeniceus,jordan-lake-state-recreation-area-new-hope,Red-winged Blackbird,Agelaius phoeniceus,agelaius-phoeniceus,5,4,5,5,5455,1772,529
jordan-lake-state-recreation-area-new-hope-aix-sponsa,jordan-lake-state-recreation-area-new-hope,Wood Duck,Aix sponsa,aix-sponsa,4,4,4,4,4444,31,162
jordan-lake-state-recreation-area-new-hope-anas-acuta,jordan-lake-state-recreation-area-new-hope,Northern Pintail,Anas acuta,anas-acuta,1,0,1,1,1011,46,166
jordan-lake-state-recreation-area-new-hope-anas-americana,jordan-lake-state-recreation-area-new-hope,American Wigeon,Anas americana,anas-americana,2,0,2,2,2022,35,173
jordan-lake-state-recreation-area-new-hope-anas-clypeata,jordan-lake-state-recreation-area-new-hope,Northern Shoveler,Anas clypeata,anas-clypeata,4,0,4,4,4044,44,170
jordan-lake-state-recreation-area-new-hope-anas-crecca,jordan-lake-state-recreation-area-new-hope,Green-winged Teal,Anas crecca,anas-crecca,4,0,4,4,4044,49,163
jordan-lake-state-recreation-area-new-hope-anas-discors,jordan-lake-state-recreation-area-new-hope,Blue-winged Teal,Anas discors,anas-discors,2,0,2,0,2020,42,168
jordan-lake-state-recreation-area-new-hope-anas-platyrhynchos,jordan-lake-state-recreation-area-new-hope,Mallard,Anas platyrhynchos,anas-platyrhynchos,4,4,4,4,4444,37,165
jordan-lake-state-recreation-area-new-hope-anas-rubripes,jordan-lake-state-recreation-area-new-hope,American Black Duck,Anas rubripes,anas-rubripes,2,0,2,2,2022,36,164
jordan-lake-state-recreation-area-new-hope-anas-strepera,jordan-lake-state-recreation-area-new-hope,Gadwall,Anas strepera,anas-strepera,4,0,4,4,4044,32,171
jordan-lake-state-recreation-area-new-hope-anthus-rubescens,jordan-lake-state-recreation-area-new-hope,American Pipit,Anthus rubescens,anthus-rubescens,2,0,0,2,2002,1521,427
jordan-lake-state-recreation-area-new-hope-archilochus-colubris,jordan-lake-state-recreation-area-new-hope,Ruby-throated Hummingbird,Archilochus colubris,archilochus-colubris,4,4,4,0,4440,864,349
jordan-lake-state-recreation-area-new-hope-ardea-alba,jordan-lake-state-recreation-area-new-hope,Great Egret,Ardea alba,ardea-alba,2,5,5,0,2550,227,138
jordan-lake-state-recreation-area-new-hope-ardea-herodias,jordan-lake-state-recreation-area-new-hope,Great Blue Heron,Ardea herodias,ardea-herodias,5,5,5,5,5555,224,136
jordan-lake-state-recreation-area-new-hope-aythya-affinis,jordan-lake-state-recreation-area-new-hope,Lesser Scaup,Aythya affinis,aythya-affinis,2,0,2,2,2022,56,178
jordan-lake-state-recreation-area-new-hope-aythya-americana,jordan-lake-state-recreation-area-new-hope,Redhead,Aythya americana,aythya-americana,3,0,3,3,3033,51,175
jordan-lake-state-recreation-area-new-hope-aythya-collaris,jordan-lake-state-recreation-area-new-hope,Ring-necked Duck,Aythya collaris,aythya-collaris,4,0,4,5,4045,53,176
jordan-lake-state-recreation-area-new-hope-aythya-marila,jordan-lake-state-recreation-area-new-hope,Greater Scaup,Aythya marila,aythya-marila,3,0,1,3,3013,55,177
jordan-lake-state-recreation-area-new-hope-aythya-valisineria,jordan-lake-state-recreation-area-new-hope,Canvasback,Aythya valisineria,aythya-valisineria,2,0,2,2,2022,50,174
jordan-lake-state-recreation-area-new-hope-baeolophus-bicolor,jordan-lake-state-recreation-area-new-hope,Tufted Titmouse,Baeolophus bicolor,baeolophus-bicolor,5,5,5,5,5555,1343,397
jordan-lake-state-recreation-area-new-hope-bombycilla-cedrorum,jordan-lake-state-recreation-area-new-hope,Cedar Waxwing,Bombycilla cedrorum,bombycilla-cedrorum,3,0,3,2,3032,1525,429
jordan-lake-state-recreation-area-new-hope-branta-canadensis,jordan-lake-state-recreation-area-new-hope,Canada Goose,Branta canadensis,branta-canadensis,2,2,2,2,2222,22,161
jordan-lake-state-recreation-area-new-hope-bubo-virginianus,jordan-lake-state-recreation-area-new-hope,Great Horned Owl,Bubo virginianus,bubo-virginianus,4,4,4,4,4444,681,335
jordan-lake-state-recreation-area-new-hope-bubulcus-ibis,jordan-lake-state-recreation-area-new-hope,Cattle Egret,Bubulcus ibis,bubulcus-ibis,3,3,3,0,3330,236,143
jordan-lake-state-recreation-area-new-hope-bucephala-albeola,jordan-lake-state-recreation-area-new-hope,Bufflehead,Bucephala albeola,bucephala-albeola,4,0,4,5,4045,67,188
jordan-lake-state-recreation-area-new-hope-bucephala-clangula,jordan-lake-state-recreation-area-new-hope,Common Goldeneye,Bucephala clangula,bucephala-clangula,0,0,0,1,0001,68,186
jordan-lake-state-recreation-area-new-hope-buteo-jamaicensis,jordan-lake-state-recreation-area-new-hope,Red-tailed Hawk,Buteo jamaicensis,buteo-jamaicensis,5,5,5,5,5555,305,206
jordan-lake-state-recreation-area-new-hope-buteo-lineatus,jordan-lake-state-recreation-area-new-hope,Red-shouldered Hawk,Buteo lineatus,buteo-lineatus,4,4,4,4,4444,296,203
jordan-lake-state-recreation-area-new-hope-buteo-platypterus,jordan-lake-state-recreation-area-new-hope,Broad-winged Hawk,Buteo platypterus,buteo-platypterus,3,3,3,0,3330,298,204
jordan-lake-state-recreation-area-new-hope-butorides-virescens,jordan-lake-state-recreation-area-new-hope,Green Heron,Butorides virescens,butorides-virescens,5,5,5,0,5550,238,144
jordan-lake-state-recreation-area-new-hope-calidris-alba,jordan-lake-state-recreation-area-new-hope,Sanderling,Calidris alba,calidris-alba,3,0,3,0,3030,428,255
jordan-lake-state-recreation-area-new-hope-calidris-alpina,jordan-lake-state-recreation-area-new-hope,Dunlin,Calidris alpina,calidris-alpina,3,0,3,0,3030,442,264
jordan-lake-state-recreation-area-new-hope-calidris-melanotos,jordan-lake-state-recreation-area-new-hope,Pectoral Sandpiper,Calidris melanotos,calidris-melanotos,3,0,3,0,3030,438,262
jordan-lake-state-recreation-area-new-hope-calidris-minutilla,jordan-lake-state-recreation-area-new-hope,Least Sandpiper,Calidris minutilla,calidris-minutilla,2,0,2,1,2021,435,259
jordan-lake-state-recreation-area-new-hope-calidris-pusilla,jordan-lake-state-recreation-area-new-hope,Semipalmated Sandpiper,Calidris pusilla,calidris-pusilla,3,0,3,0,3030,429,256
jordan-lake-state-recreation-area-new-hope-antrostomus-carolinensis,jordan-lake-state-recreation-area-new-hope,Chuck-will's-widow,Antrostomus carolinensis,antrostomus-carolinensis,4,4,0,0,4400,718,345
jordan-lake-state-recreation-area-new-hope-antrostomus-vociferus,jordan-lake-state-recreation-area-new-hope,Eastern Whip-poor-will,Antrostomus vociferus,antrostomus-vociferus,5,5,3,0,5530,724,346
jordan-lake-state-recreation-area-new-hope-cardinalis-cardinalis,jordan-lake-state-recreation-area-new-hope,Northern Cardinal,Cardinalis cardinalis,cardinalis-cardinalis,5,5,5,5,5555,1755,488
jordan-lake-state-recreation-area-new-hope-spinus-pinus,jordan-lake-state-recreation-area-new-hope,Pine Siskin,Spinus pinus,spinus-pinus,3,0,0,3,3003,1860,549
jordan-lake-state-recreation-area-new-hope-spinus-tristis,jordan-lake-state-recreation-area-new-hope,American Goldfinch,Spinus tristis,spinus-tristis,5,4,4,5,5445,1868,551
jordan-lake-state-recreation-area-new-hope-haemorhous-mexicanus,jordan-lake-state-recreation-area-new-hope,House Finch,Haemorhous mexicanus,haemorhous-mexicanus,5,5,5,5,5555,10371,544
jordan-lake-state-recreation-area-new-hope-haemorhous-purpureus,jordan-lake-state-recreation-area-new-hope,Purple Finch,Haemorhous purpureus,haemorhous-purpureus,3,0,0,3,3003,10351,543
jordan-lake-state-recreation-area-new-hope-cathartes-aura,jordan-lake-state-recreation-area-new-hope,Turkey Vulture,Cathartes aura,cathartes-aura,5,5,5,5,5555,256,153
jordan-lake-state-recreation-area-new-hope-catharus-fuscescens,jordan-lake-state-recreation-area-new-hope,Veery,Catharus fuscescens,catharus-fuscescens,2,0,2,0,2020,1450,415
jordan-lake-state-recreation-area-new-hope-catharus-guttatus,jordan-lake-state-recreation-area-new-hope,Hermit Thrush,Catharus guttatus,catharus-guttatus,4,0,2,4,4024,1454,418
jordan-lake-state-recreation-area-new-hope-catharus-minimus,jordan-lake-state-recreation-area-new-hope,Gray-cheeked Thrush,Catharus minimus,catharus-minimus,3,0,3,0,3030,1451,416
jordan-lake-state-recreation-area-new-hope-catharus-ustulatus,jordan-lake-state-recreation-area-new-hope,Swainson's Thrush,Catharus ustulatus,catharus-ustulatus,2,0,2,0,2020,1453,417
jordan-lake-state-recreation-area-new-hope-certhia-americana,jordan-lake-state-recreation-area-new-hope,Brown Creeper,Certhia americana,certhia-americana,2,0,2,2,2022,1351,401
jordan-lake-state-recreation-area-new-hope-megaceryle-alcyon,jordan-lake-state-recreation-area-new-hope,Belted Kingfisher,Megaceryle alcyon,megaceryle-alcyon,4,4,4,4,4444,912,353
jordan-lake-state-recreation-area-new-hope-chaetura-pelagica,jordan-lake-state-recreation-area-new-hope,Chimney Swift,Chaetura pelagica,chaetura-pelagica,5,5,5,0,5550,741,347
jordan-lake-state-recreation-area-new-hope-charadrius-vociferus,jordan-lake-state-recreation-area-new-hope,Killdeer,Charadrius vociferus,charadrius-vociferus,5,4,5,5,5455,384,235
jordan-lake-state-recreation-area-new-hope-chlidonias-niger,jordan-lake-state-recreation-area-new-hope,Black Tern,Chlidonias niger,chlidonias-niger,0,0,3,0,0030,497,310
jordan-lake-state-recreation-area-new-hope-chordeiles-minor,jordan-lake-state-recreation-area-new-hope,Common Nighthawk,Chordeiles minor,chordeiles-minor,2,2,2,0,2220,709,343
jordan-lake-state-recreation-area-new-hope-circus-cyaneus,jordan-lake-state-recreation-area-new-hope,Northern Harrier,Circus cyaneus,circus-cyaneus,4,0,4,4,4044,274,199
jordan-lake-state-recreation-area-new-hope-clangula-hyemalis,jordan-lake-state-recreation-area-new-hope,Long-tailed Duck,Clangula hyemalis,clangula-hyemalis,0,0,0,1,0001,66,182
jordan-lake-state-recreation-area-new-hope-coccyzus-americanus,jordan-lake-state-recreation-area-new-hope,Yellow-billed Cuckoo,Coccyzus americanus,coccyzus-americanus,4,4,4,0,4440,644,330
jordan-lake-state-recreation-area-new-hope-colaptes-auratus,jordan-lake-state-recreation-area-new-hope,Northern Flicker,Colaptes auratus,colaptes-auratus,5,5,5,5,5555,979,361
jordan-lake-state-recreation-area-new-hope-colinus-virginianus,jordan-lake-state-recreation-area-new-hope,Northern Bobwhite,Colinus virginianus,colinus-virginianus,1,1,1,1,1111,122,216
jordan-lake-state-recreation-area-new-hope-columba-livia,jordan-lake-state-recreation-area-new-hope,Rock Pigeon,Columba livia,columba-livia,2,2,2,2,2222,536,319
jordan-lake-state-recreation-area-new-hope-contopus-virens,jordan-lake-state-recreation-area-new-hope,Eastern Wood-Pewee,Contopus virens,contopus-virens,5,5,5,0,5550,1132,365
jordan-lake-state-recreation-area-new-hope-coragyps-atratus,jordan-lake-state-recreation-area-new-hope,Black Vulture,Coragyps atratus,coragyps-atratus,2,2,2,2,2222,255,152
jordan-lake-state-recreation-area-new-hope-corvus-brachyrhynchos,jordan-lake-state-recreation-area-new-hope,American Crow,Corvus brachyrhynchos,corvus-brachyrhynchos,5,5,5,5,5555,1296,391
jordan-lake-state-recreation-area-new-hope-corvus-ossifragus,jordan-lake-state-recreation-area-new-hope,Fish Crow,Corvus ossifragus,corvus-ossifragus,5,5,5,1,5551,1304,392
jordan-lake-state-recreation-area-new-hope-cyanocitta-cristata,jordan-lake-state-recreation-area-new-hope,Blue Jay,Cyanocitta cristata,cyanocitta-cristata,5,5,5,5,5555,1270,390
jordan-lake-state-recreation-area-new-hope-setophaga-caerulescens,jordan-lake-state-recreation-area-new-hope,Black-throated Blue Warbler,Setophaga caerulescens,setophaga-caerulescens,4,0,4,0,4040,1549,454
jordan-lake-state-recreation-area-new-hope-setophaga-castanea,jordan-lake-state-recreation-area-new-hope,Bay-breasted Warbler,Setophaga castanea,setophaga-castanea,1,0,3,0,1030,1568,466
jordan-lake-state-recreation-area-new-hope-setophaga-coronata,jordan-lake-state-recreation-area-new-hope,Yellow-rumped Warbler,Setophaga coronata,setophaga-coronata,5,0,5,5,5055,1550,455
jordan-lake-state-recreation-area-new-hope-setophaga-discolor,jordan-lake-state-recreation-area-new-hope,Prairie Warbler,Setophaga discolor,setophaga-discolor,5,5,5,0,5550,1565,464
jordan-lake-state-recreation-area-new-hope-setophaga-dominica,jordan-lake-state-recreation-area-new-hope,Yellow-throated Warbler,Setophaga dominica,setophaga-dominica,5,5,5,0,5550,1557,461
jordan-lake-state-recreation-area-new-hope-setophaga-fusca,jordan-lake-state-recreation-area-new-hope,Blackburnian Warbler,Setophaga fusca,setophaga-fusca,1,0,2,0,1020,1556,460
jordan-lake-state-recreation-area-new-hope-setophaga-magnolia,jordan-lake-state-recreation-area-new-hope,Magnolia Warbler,Setophaga magnolia,setophaga-magnolia,2,0,5,0,2050,1547,452
jordan-lake-state-recreation-area-new-hope-setophaga-palmarum,jordan-lake-state-recreation-area-new-hope,Palm Warbler,Setophaga palmarum,setophaga-palmarum,5,0,5,2,5052,1567,465
jordan-lake-state-recreation-area-new-hope-setophaga-pensylvanica,jordan-lake-state-recreation-area-new-hope,Chestnut-sided Warbler,Setophaga pensylvanica,setophaga-pensylvanica,3,0,4,0,3040,1546,451
jordan-lake-state-recreation-area-new-hope-setophaga-petechia,jordan-lake-state-recreation-area-new-hope,Yellow Warbler,Setophaga petechia,setophaga-petechia,4,0,4,0,4040,1545,450
jordan-lake-state-recreation-area-new-hope-setophaga-pinus,jordan-lake-state-recreation-area-new-hope,Pine Warbler,Setophaga pinus,setophaga-pinus,5,5,5,5,5555,1563,462
jordan-lake-state-recreation-area-new-hope-setophaga-striata,jordan-lake-state-recreation-area-new-hope,Blackpoll Warbler,Setophaga striata,setophaga-striata,5,0,3,0,5030,1569,467
jordan-lake-state-recreation-area-new-hope-setophaga-tigrina,jordan-lake-state-recreation-area-new-hope,Cape May Warbler,Setophaga tigrina,setophaga-tigrina,3,0,4,0,3040,1548,453
jordan-lake-state-recreation-area-new-hope-setophaga-virens,jordan-lake-state-recreation-area-new-hope,Black-throated Green Warbler,Setophaga virens,setophaga-virens,3,0,2,0,3020,1553,458
jordan-lake-state-recreation-area-new-hope-dolichonyx-oryzivorus,jordan-lake-state-recreation-area-new-hope,Bobolink,Dolichonyx oryzivorus,dolichonyx-oryzivorus,4,0,4,0,4040,1771,528
jordan-lake-state-recreation-area-new-hope-dryocopus-pileatus,jordan-lake-state-recreation-area-new-hope,Pileated Woodpecker,Dryocopus pileatus,dryocopus-pileatus,4,4,4,4,4444,985,362
jordan-lake-state-recreation-area-new-hope-dumetella-carolinensis,jordan-lake-state-recreation-area-new-hope,Gray Catbird,Dumetella carolinensis,dumetella-carolinensis,5,5,5,1,5551,1485,422
jordan-lake-state-recreation-area-new-hope-egretta-caerulea,jordan-lake-state-recreation-area-new-hope,Little Blue Heron,Egretta caerulea,egretta-caerulea,1,3,3,0,1330,233,140
jordan-lake-state-recreation-area-new-hope-egretta-thula,jordan-lake-state-recreation-area-new-hope,Snowy Egret,Egretta thula,egretta-thula,1,3,3,0,1330,232,139
jordan-lake-state-recreation-area-new-hope-egretta-tricolor,jordan-lake-state-recreation-area-new-hope,Tricolored Heron,Egretta tricolor,egretta-tricolor,1,3,3,0,1330,234,141
jordan-lake-state-recreation-area-new-hope-empidonax-virescens,jordan-lake-state-recreation-area-new-hope,Acadian Flycatcher,Empidonax virescens,empidonax-virescens,4,4,4,0,4440,1139,367
jordan-lake-state-recreation-area-new-hope-eudocimus-albus,jordan-lake-state-recreation-area-new-hope,White Ibis,Eudocimus albus,eudocimus-albus,0,3,3,0,0330,245,147
jordan-lake-state-recreation-area-new-hope-euphagus-carolinus,jordan-lake-state-recreation-area-new-hope,Rusty Blackbird,Euphagus carolinus,euphagus-carolinus,2,0,0,2,2002,1784,533
jordan-lake-state-recreation-area-new-hope-falco-sparverius,jordan-lake-state-recreation-area-new-hope,American Kestrel,Falco sparverius,falco-sparverius,2,0,2,2,2022,323,209
jordan-lake-state-recreation-area-new-hope-fulica-americana,jordan-lake-state-recreation-area-new-hope,American Coot,Fulica americana,fulica-americana,5,0,5,5,5055,360,225
jordan-lake-state-recreation-area-new-hope-gallinago-delicata,jordan-lake-state-recreation-area-new-hope,Wilson's Snipe,Gallinago delicata,gallinago-delicata,2,0,2,2,2022,452,271
jordan-lake-state-recreation-area-new-hope-gavia-immer,jordan-lake-state-recreation-area-new-hope,Common Loon,Gavia immer,gavia-immer,4,0,4,4,4044,136,98
jordan-lake-state-recreation-area-new-hope-gavia-stellata,jordan-lake-state-recreation-area-new-hope,Red-throated Loon,Gavia stellata,gavia-stellata,0,0,0,1,0001,134,97
jordan-lake-state-recreation-area-new-hope-geothlypis-trichas,jordan-lake-state-recreation-area-new-hope,Common Yellowthroat,Geothlypis trichas,geothlypis-trichas,5,5,5,3,5553,1587,480
jordan-lake-state-recreation-area-new-hope-haliaeetus-leucocephalus,jordan-lake-state-recreation-area-new-hope,Bald Eagle,Haliaeetus leucocephalus,haliaeetus-leucocephalus,4,4,4,4,4444,270,198
jordan-lake-state-recreation-area-new-hope-helmitheros-vermivorum,jordan-lake-state-recreation-area-new-hope,Worm-eating Warbler,Helmitheros vermivorum,helmitheros-vermivorum,4,0,2,0,4020,1578,472
jordan-lake-state-recreation-area-new-hope-hirundo-rustica,jordan-lake-state-recreation-area-new-hope,Barn Swallow,Hirundo rustica,hirundo-rustica,5,5,5,0,5550,1331,389
jordan-lake-state-recreation-area-new-hope-hydroprogne-caspia,jordan-lake-state-recreation-area-new-hope,Caspian Tern,Hydroprogne caspia,hydroprogne-caspia,2,0,2,0,2020,495,299
jordan-lake-state-recreation-area-new-hope-hylocichla-mustelina,jordan-lake-state-recreation-area-new-hope,Wood Thrush,Hylocichla mustelina,hylocichla-mustelina,5,5,5,0,5550,1455,420
jordan-lake-state-recreation-area-new-hope-icteria-virens,jordan-lake-state-recreation-area-new-hope,Yellow-breasted Chat,Icteria virens,icteria-virens,5,5,5,1,5551,1618,484
jordan-lake-state-recreation-area-new-hope-icterus-galbula,jordan-lake-state-recreation-area-new-hope,Baltimore Oriole,Icterus galbula,icterus-galbula,3,0,2,3,3023,1817,540
jordan-lake-state-recreation-area-new-hope-icterus-spurius,jordan-lake-state-recreation-area-new-hope,Orchard Oriole,Icterus spurius,icterus-spurius,5,5,0,0,5500,1804,539
jordan-lake-state-recreation-area-new-hope-junco-hyemalis,jordan-lake-state-recreation-area-new-hope,Dark-eyed Junco,Junco hyemalis,junco-hyemalis,5,0,5,5,5055,1730,523
jordan-lake-state-recreation-area-new-hope-lanius-ludovicianus,jordan-lake-state-recreation-area-new-hope,Loggerhead Shrike,Lanius ludovicianus,lanius-ludovicianus,3,3,3,3,3333,1230,431
jordan-lake-state-recreation-area-new-hope-larus-argentatus,jordan-lake-state-recreation-area-new-hope,Herring Gull,Larus argentatus,larus-argentatus,4,0,4,4,4044,467,289
jordan-lake-state-recreation-area-new-hope-leucophaeus-atricilla,jordan-lake-state-recreation-area-new-hope,Laughing Gull,Leucophaeus atricilla,leucophaeus-atricilla,3,1,3,0,3130,1990,281
jordan-lake-state-recreation-area-new-hope-larus-delawarensis,jordan-lake-state-recreation-area-new-hope,Ring-billed Gull,Larus delawarensis,larus-delawarensis,5,0,5,5,5055,465,287
jordan-lake-state-recreation-area-new-hope-larus-fuscus,jordan-lake-state-recreation-area-new-hope,Lesser Black-backed Gull,Larus fuscus,larus-fuscus,1,0,1,1,1011,471,293
jordan-lake-state-recreation-area-new-hope-larus-marinus,jordan-lake-state-recreation-area-new-hope,Great Black-backed Gull,Larus marinus,larus-marinus,1,0,1,1,1011,477,295
jordan-lake-state-recreation-area-new-hope-chroicocephalus-philadelphia,jordan-lake-state-recreation-area-new-hope,Bonaparte's Gull,Chroicocephalus philadelphia,chroicocephalus-philadelphia,5,0,2,5,5025,1993,285
jordan-lake-state-recreation-area-new-hope-lophodytes-cucullatus,jordan-lake-state-recreation-area-new-hope,Hooded Merganser,Lophodytes cucullatus,lophodytes-cucullatus,4,0,4,5,4045,71,189
jordan-lake-state-recreation-area-new-hope-megascops-asio,jordan-lake-state-recreation-area-new-hope,Eastern Screech-Owl,Megascops asio,megascops-asio,2,2,2,2,2222,669,334
jordan-lake-state-recreation-area-new-hope-melanerpes-carolinus,jordan-lake-state-recreation-area-new-hope,Red-bellied Woodpecker,Melanerpes carolinus,melanerpes-carolinus,5,5,5,5,5555,953,355
jordan-lake-state-recreation-area-new-hope-melanerpes-erythrocephalus,jordan-lake-state-recreation-area-new-hope,Red-headed Woodpecker,Melanerpes erythrocephalus,melanerpes-erythrocephalus,2,2,2,2,2222,940,354
jordan-lake-state-recreation-area-new-hope-melanitta-fusca,jordan-lake-state-recreation-area-new-hope,White-winged Scoter,Melanitta fusca,melanitta-fusca,0,0,0,1,0001,64,185
jordan-lake-state-recreation-area-new-hope-melanitta-americana,jordan-lake-state-recreation-area-new-hope,Black Scoter,Melanitta americana,melanitta-americana,0,0,0,1,0001,65,183
jordan-lake-state-recreation-area-new-hope-melanitta-perspicillata,jordan-lake-state-recreation-area-new-hope,Surf Scoter,Melanitta perspicillata,melanitta-perspicillata,0,0,0,1,0001,63,184
jordan-lake-state-recreation-area-new-hope-meleagris-gallopavo,jordan-lake-state-recreation-area-new-hope,Wild Turkey,Meleagris gallopavo,meleagris-gallopavo,2,2,2,2,2222,110,215
jordan-lake-state-recreation-area-new-hope-melospiza-georgiana,jordan-lake-state-recreation-area-new-hope,Swamp Sparrow,Melospiza georgiana,melospiza-georgiana,5,0,5,5,5055,1724,519
jordan-lake-state-recreation-area-new-hope-melospiza-lincolnii,jordan-lake-state-recreation-area-new-hope,Lincoln's Sparrow,Melospiza lincolnii,melospiza-lincolnii,1,0,3,0,1030,1723,518
jordan-lake-state-recreation-area-new-hope-melospiza-melodia,jordan-lake-state-recreation-area-new-hope,Song Sparrow,Melospiza melodia,melospiza-melodia,5,3,5,5,5355,1722,517
jordan-lake-state-recreation-area-new-hope-mergus-merganser,jordan-lake-state-recreation-area-new-hope,Common Merganser,Mergus merganser,mergus-merganser,3,0,1,3,3013,72,190
jordan-lake-state-recreation-area-new-hope-mergus-serrator,jordan-lake-state-recreation-area-new-hope,Red-breasted Merganser,Mergus serrator,mergus-serrator,2,0,1,2,2012,73,191
jordan-lake-state-recreation-area-new-hope-mimus-polyglottos,jordan-lake-state-recreation-area-new-hope,Northern Mockingbird,Mimus polyglottos,mimus-polyglottos,5,5,5,5,5555,1487,423
jordan-lake-state-recreation-area-new-hope-mniotilta-varia,jordan-lake-state-recreation-area-new-hope,Black-and-white Warbler,Mniotilta varia,mniotilta-varia,5,3,5,1,5351,1575,469
jordan-lake-state-recreation-area-new-hope-molothrus-ater,jordan-lake-state-recreation-area-new-hope,Brown-headed Cowbird,Molothrus ater,molothrus-ater,5,5,5,5,5555,1795,538
jordan-lake-state-recreation-area-new-hope-myiarchus-crinitus,jordan-lake-state-recreation-area-new-hope,Great Crested Flycatcher,Myiarchus crinitus,myiarchus-crinitus,5,5,5,0,5550,1169,375
jordan-lake-state-recreation-area-new-hope-geothlypis-formosa,jordan-lake-state-recreation-area-new-hope,Kentucky Warbler,Geothlypis formosa,geothlypis-formosa,4,4,3,0,4430,1583,477
jordan-lake-state-recreation-area-new-hope-oxyura-jamaicensis,jordan-lake-state-recreation-area-new-hope,Ruddy Duck,Oxyura jamaicensis,oxyura-jamaicensis,4,0,4,4,4044,75,192
jordan-lake-state-recreation-area-new-hope-pandion-haliaetus,jordan-lake-state-recreation-area-new-hope,Osprey,Pandion haliaetus,pandion-haliaetus,5,5,5,1,5551,2005,194
jordan-lake-state-recreation-area-new-hope-setophaga-americana,jordan-lake-state-recreation-area-new-hope,Northern Parula,Setophaga americana,setophaga-americana,5,5,5,0,5550,1543,449
jordan-lake-state-recreation-area-new-hope-passerculus-sandwichensis,jordan-lake-state-recreation-area-new-hope,Savannah Sparrow,Passerculus sandwichensis,passerculus-sandwichensis,5,0,5,5,5055,1715,508
jordan-lake-state-recreation-area-new-hope-passer-domesticus,jordan-lake-state-recreation-area-new-hope,House Sparrow,Passer domesticus,passer-domesticus,5,5,5,5,5555,1907,553
jordan-lake-state-recreation-area-new-hope-passerella-iliaca,jordan-lake-state-recreation-area-new-hope,Fox Sparrow,Passerella iliaca,passerella-iliaca,2,0,0,2,2002,1721,516
