siteID,regionID,name,note,url,picture
111,1,Weyerhaeusers Cool Springs Environmental Education Center,NULL,NULL,NULL
112,1,Zekes Island Coastal Reserve,NULL,NULL,NULL
113,2,Alcoa Game Land-Newsom Road,NULL,NULL,NULL
114,2,All American Trail,NULL,NULL,NULL
115,2,Blue Jay Point County Park,NULL,NULL,NULL
116,2,Boones Cave Park,NULL,NULL,NULL
117,2,Calloway Forest,NULL,NULL,NULL
118,2,Cane Creek Park,NULL,NULL,NULL
119,2,Cape Fear Botanical Garden,NULL,NULL,NULL
120,2,Cape Fear River Trail,NULL,NULL,NULL
121,2,Carvers Creek State Park,NULL,NULL,NULL
122,2,Catawba College Ecological Preserve,NULL,NULL,NULL
123,2,Chinqua Penn Walking Trail,NULL,NULL,NULL
124,2,Clemmons Educational State Forest,NULL,NULL,NULL
125,2,Crooked Run Wildlife Management Area,NULL,NULL,NULL
126,2,Dan Nicholas Park,NULL,NULL,NULL
127,2,Dan River,NULL,NULL,NULL
128,2,Dunn Erwin Trail,NULL,NULL,NULL
129,2,Dunns Mountain History and Nature Preserve,NULL,NULL,NULL
130,2,Durant Nature Park,NULL,NULL,NULL
131,2,Eagle Point Nature Preserve,NULL,NULL,NULL
132,2,Eno River State Park,NULL,NULL,NULL
133,2,Falls Lake State Recreation Area - Holly Point/Shinleaf,NULL,NULL,NULL
134,2,Falls Lake State Recreation Area - Rolling View,NULL,NULL,NULL
135,2,Falls Lake State Recreation Area - Sandling Beach,NULL,NULL,NULL
136,2,Falls Lake State Recreation Area - Woodpecker Ridge,NULL,NULL,NULL
137,2,Falls Lake Trail,NULL,NULL,NULL
138,2,Frank Liske Park,NULL,NULL,NULL
139,2,Franklin County Nature Preserve,NULL,NULL,NULL
140,2,Freedom Park and Charlotte Nature Museum,NULL,NULL,NULL
141,2,Hanging Rock State Park,NULL,NULL,NULL
142,2,Harris Lake County Park,NULL,NULL,NULL
143,2,Haw River State Park,NULL,NULL,NULL
144,2,Haw River Trail,NULL,NULL,NULL
145,2,Hemlock Bluffs Nature Preserve,NULL,NULL,NULL
146,2,High Ridge Gardens,NULL,NULL,NULL
147,2,Hill Forest,NULL,NULL,NULL
148,2,Hinson Lake,NULL,NULL,NULL
149,2,Historic Bethabara Park,NULL,NULL,NULL
150,2,Historic Yates Mill County Park,NULL,NULL,NULL
151,2,Indian Trail Park and West Ellerbe Creek Trail,NULL,NULL,NULL
152,2,J. Bayard Clark Park,NULL,NULL,NULL
153,2,Johnston Mill Nature Preserve,NULL,NULL,NULL
154,2,Jordan Lake Educational State Forest,NULL,NULL,NULL
155,2,Jordan Lake State Recreation Area - Ebenezer Church,NULL,NULL,NULL
156,2,Jordan Lake State Recreation Area - New Hope,NULL,NULL,NULL
157,2,Jordan Lake State Recreation Area - Parkers Creek,NULL,NULL,NULL
158,2,Jordan Lake State Recreation Area - Seaforth,NULL,NULL,NULL
159,2,Jordan Lake State Recreation Area - Vista Point,NULL,NULL,NULL
160,2,Kerr Lake State Recreation Area - Bullocksville,NULL,NULL,NULL
161,2,Kerr Lake State Recreation Area - County Line,NULL,NULL,NULL
162,2,Kerr Lake State Recreation Area - Henderson Point,NULL,NULL,NULL
163,2,Kerr Lake State Recreation Area - Hibernia,NULL,NULL,NULL
164,2,Kerr Lake State Recreation Area - Kimball Point,NULL,NULL,NULL
