spp_slug,commonName,scientificName,aou,bnc
megaceryle-alcyon,Belted Kingfisher,Megaceryle alcyon,912,353
chaetura-pelagica,Chimney Swift,Chaetura pelagica,741,347
charadrius-nivosus,Snowy Plover,Charadrius nivosus,378,231
charadrius-melodus,Piping Plover,Charadrius melodus,382,234
charadrius-semipalmatus,Semipalmated Plover,Charadrius semipalmatus,381,233
charadrius-vociferus,Killdeer,Charadrius vociferus,384,235
charadrius-wilsonia,Wilson's Plover,Charadrius wilsonia,379,232
chen-caerulescens,Snow Goose,Chen caerulescens,17,158
chen-rossii,Ross's Goose,Chen rossii,18,159
chlidonias-leucopterus,White-winged Tern,Chlidonias leucopterus,498,309
chlidonias-niger,Black Tern,Chlidonias niger,497,310
chondestes-grammacus,Lark Sparrow,Chondestes grammacus,1711,506
chordeiles-gundlachii,Antillean Nighthawk,Chordeiles gundlachii,710,344
chordeiles-minor,Common Nighthawk,Chordeiles minor,709,343
circus-cyaneus,Northern Harrier,Circus cyaneus,274,199
cistothorus-palustris,Marsh Wren,Cistothorus palustris,1391,408
cistothorus-platensis,Sedge Wren,Cistothorus platensis,1390,407
clangula-hyemalis,Long-tailed Duck,Clangula hyemalis,66,182
coccothraustes-vespertinus,Evening Grosbeak,Coccothraustes vespertinus,1875,552
coccyzus-americanus,Yellow-billed Cuckoo,Coccyzus americanus,644,330
coccyzus-erythropthalmus,Black-billed Cuckoo,Coccyzus erythropthalmus,648,329
colaptes-auratus,Northern Flicker,Colaptes auratus,979,361
colinus-virginianus,Northern Bobwhite,Colinus virginianus,122,216
columba-livia,Rock Pigeon,Columba livia,536,319
columbina-passerina,Common Ground-Dove,Columbina passerina,560,325
contopus-cooperi,Olive-sided Flycatcher,Contopus cooperi,1127,364
contopus-virens,Eastern Wood-Pewee,Contopus virens,1132,365
coragyps-atratus,Black Vulture,Coragyps atratus,255,152
corvus-brachyrhynchos,American Crow,Corvus brachyrhynchos,1296,391
corvus-corax,Common Raven,Corvus corax,1307,393
corvus-ossifragus,Fish Crow,Corvus ossifragus,1304,392
coturnicops-noveboracensis,Yellow Rail,Coturnicops noveboracensis,333,217
cyanocitta-cristata,Blue Jay,Cyanocitta cristata,1270,390
cygnus-buccinator,Trumpeter Swan,Cygnus buccinator,25,12211
cygnus-columbianus,Tundra Swan,Cygnus columbianus,26,155
cygnus-olor,Mute Swan,Cygnus olor,24,156
setophaga-caerulescens,Black-throated Blue Warbler,Setophaga caerulescens,1549,454
setophaga-castanea,Bay-breasted Warbler,Setophaga castanea,1568,466
setophaga-cerulea,Cerulean Warbler,Setophaga cerulea,1570,468
setophaga-coronata,Yellow-rumped Warbler,Setophaga coronata,1550,455
setophaga-discolor,Prairie Warbler,Setophaga discolor,1565,464
setophaga-dominica,Yellow-throated Warbler,Setophaga dominica,1557,461
setophaga-fusca,Blackburnian Warbler,Setophaga fusca,1556,460
setophaga-magnolia,Magnolia Warbler,Setophaga magnolia,1547,452
setophaga-palmarum,Palm Warbler,Setophaga palmarum,1567,465
setophaga-pensylvanica,Chestnut-sided Warbler,Setophaga pensylvanica,1546,451
setophaga-petechia,Yellow Warbler,Setophaga petechia,1545,450
setophaga-pinus,Pine Warbler,Setophaga pinus,1563,462
setophaga-striata,Blackpoll Warbler,Setophaga striata,1569,467
setophaga-tigrina,Cape May Warbler,Setophaga tigrina,1548,453
setophaga-townsendi,Townsend's Warbler,Setophaga townsendi,1554,457
setophaga-virens,Black-throated Green Warbler,Setophaga virens,1553,458
dolichonyx-oryzivorus,Bobolink,Dolichonyx oryzivorus,1771,528
dryocopus-pileatus,Pileated Woodpecker,Dryocopus pileatus,985,362
dumetella-carolinensis,Gray Catbird,Dumetella carolinensis,1485,422
egretta-caerulea,Little Blue Heron,Egretta caerulea,233,140
egretta-caerulea,Little Blue Heron,Egretta caerulea,233,140
egretta-rufescens,Reddish Egret,Egretta rufescens,235,142
egretta-thula,Snowy Egret,Egretta thula,232,139
egretta-tricolor,Tricolored Heron,Egretta tricolor,234,141
elanoides-forficatus,Swallow-tailed Kite,Elanoides forficatus,262,195
empidonax-alnorum,Alder Flycatcher,Empidonax alnorum,1140,368
empidonax-flaviventris,Yellow-bellied Flycatcher,Empidonax flaviventris,1138,366
empidonax-minimus,Least Flycatcher,Empidonax minimus,1143,370
empidonax-traillii,Willow Flycatcher,Empidonax traillii,1141,369
empidonax-virescens,Acadian Flycatcher,Empidonax virescens,1139,367
eremophila-alpestris,Horned Lark,Eremophila alpestris,1310,382
eudocimus-albus,White Ibis,Eudocimus albus,245,147
euphagus-carolinus,Rusty Blackbird,Euphagus carolinus,1784,533
euphagus-cyanocephalus,Brewer's Blackbird,Euphagus cyanocephalus,1785,534
falco-columbarius,Merlin,Falco columbarius,325,210
falco-peregrinus,Peregrine Falcon,Falco peregrinus,331,211
falco-sparverius,American Kestrel,Falco sparverius,323,209
fratercula-arctica,Atlantic Puffin,Fratercula arctica,532,318
fregata-magnificens,Magnificent Frigatebird,Fregata magnificens,214,133
fregetta-tropica,Black-bellied Storm-Petrel,Fregetta tropica,183,12213
fulica-americana,American Coot,Fulica americana,360,225
