scientificName,commonName,spp_slug,aou,bnc
Megaceryle alcyon,Belted Kingfisher,megaceryle-alcyon,912,353
Chaetura pelagica,Chimney Swift,chaetura-pelagica,741,347
Charadrius nivosus,Snowy Plover,charadrius-nivosus,378,231
Charadrius melodus,Piping Plover,charadrius-melodus,382,234
Charadrius semipalmatus,Semipalmated Plover,charadrius-semipalmatus,381,233
Charadrius vociferus,Killdeer,charadrius-vociferus,384,235
Charadrius wilsonia,Wilson's Plover,charadrius-wilsonia,379,232
Chen caerulescens,Snow Goose,chen-caerulescens,17,158
Chen rossii,Ross's Goose,chen-rossii,18,159
Chlidonias leucopterus,White-winged Tern,chlidonias-leucopterus,498,309
Chlidonias niger,Black Tern,chlidonias-niger,497,310
Chondestes grammacus,Lark Sparrow,chondestes-grammacus,1711,506
Chordeiles gundlachii,Antillean Nighthawk,chordeiles-gundlachii,710,344
Chordeiles minor,Common Nighthawk,chordeiles-minor,709,343
Circus cyaneus,Northern Harrier,circus-cyaneus,274,199
Cistothorus palustris,Marsh Wren,cistothorus-palustris,1391,408
Cistothorus platensis,Sedge Wren,cistothorus-platensis,1390,407
Clangula hyemalis,Long-tailed Duck,clangula-hyemalis,66,182
Coccothraustes vespertinus,Evening Grosbeak,coccothraustes-vespertinus,1875,552
Coccyzus americanus,Yellow-billed Cuckoo,coccyzus-americanus,644,330
Coccyzus erythropthalmus,Black-billed Cuckoo,coccyzus-erythropthalmus,648,329
Colaptes auratus,Northern Flicker,colaptes-auratus,979,361
Colinus virginianus,Northern Bobwhite,colinus-virginianus,122,216
Columba livia,Rock Pigeon,columba-livia,536,319
Columbina passerina,Common Ground-Dove,columbina-passerina,560,325
Contopus cooperi,Olive-sided Flycatcher,contopus-cooperi,1127,364
Contopus virens,Eastern Wood-Pewee,contopus-virens,1132,365
Coragyps atratus,Black Vulture,coragyps-atratus,255,152
Corvus brachyrhynchos,American Crow,corvus-brachyrhynchos,1296,391
Corvus corax,Common Raven,corvus-corax,1307,393
Corvus ossifragus,Fish Crow,corvus-ossifragus,1304,392
Coturnicops noveboracensis,Yellow Rail,coturnicops-noveboracensis,333,217
Cyanocitta cristata,Blue Jay,cyanocitta-cristata,1270,390
Cygnus buccinator,Trumpeter Swan,cygnus-buccinator,25,12211
Cygnus columbianus,Tundra Swan,cygnus-columbianus,26,155
Cygnus olor,Mute Swan,cygnus-olor,24,156
Setophaga caerulescens,Black-throated Blue Warbler,setophaga-caerulescens,1549,454
Setophaga castanea,Bay-breasted Warbler,setophaga-castanea,1568,466
Setophaga cerulea,Cerulean Warbler,setophaga-cerulea,1570,468
Setophaga coronata,Yellow-rumped Warbler,setophaga-coronata,1550,455
Setophaga discolor,Prairie Warbler,setophaga-discolor,1565,464
Setophaga dominica,Yellow-throated Warbler,setophaga-dominica,1557,461
Setophaga fusca,Blackburnian Warbler,setophaga-fusca,1556,460
Setophaga magnolia,Magnolia Warbler,setophaga-magnolia,1547,452
Setophaga palmarum,Palm Warbler,setophaga-palmarum,1567,465
Setophaga pensylvanica,Chestnut-sided Warbler,setophaga-pensylvanica,1546,451
Setophaga petechia,Yellow Warbler,setophaga-petechia,1545,450
Setophaga pinus,Pine Warbler,setophaga-pinus,1563,462
Setophaga striata,Blackpoll Warbler,setophaga-striata,1569,467
Setophaga tigrina,Cape May Warbler,setophaga-tigrina,1548,453
Setophaga townsendi,Townsend's Warbler,setophaga-townsendi,1554,457
Setophaga virens,Black-throated Green Warbler,setophaga-virens,1553,458
Dolichonyx oryzivorus,Bobolink,dolichonyx-oryzivorus,1771,528
Dryocopus pileatus,Pileated Woodpecker,dryocopus-pileatus,985,362
Dumetella carolinensis,Gray Catbird,dumetella-carolinensis,1485,422
Egretta caerulea,Little Blue Heron,egretta-caerulea,233,140
Egretta caerulea,Little Blue Heron,egretta-caerulea,233,140
Egretta rufescens,Reddish Egret,egretta-rufescens,235,142
Egretta thula,Snowy Egret,egretta-thula,232,139
Egretta tricolor,Tricolored Heron,egretta-tricolor,234,141
Elanoides forficatus,Swallow-tailed Kite,elanoides-forficatus,262,195
Empidonax alnorum,Alder Flycatcher,empidonax-alnorum,1140,368
Empidonax flaviventris,Yellow-bellied Flycatcher,empidonax-flaviventris,1138,366
Empidonax minimus,Least Flycatcher,empidonax-minimus,1143,370
Empidonax traillii,Willow Flycatcher,empidonax-traillii,1141,369
Empidonax virescens,Acadian Flycatcher,empidonax-virescens,1139,367
Eremophila alpestris,Horned Lark,eremophila-alpestris,1310,382
Eudocimus albus,White Ibis,eudocimus-albus,245,147
Euphagus carolinus,Rusty Blackbird,euphagus-carolinus,1784,533
Euphagus cyanocephalus,Brewer's Blackbird,euphagus-cyanocephalus,1785,534
Falco columbarius,Merlin,falco-columbarius,325,210
Falco peregrinus,Peregrine Falcon,falco-peregrinus,331,211
Falco sparverius,American Kestrel,falco-sparverius,323,209
Fratercula arctica,Atlantic Puffin,fratercula-arctica,532,318
Fregata magnificens,Magnificent Frigatebird,fregata-magnificens,214,133
Fregetta tropica,Black-bellied Storm-Petrel,fregetta-tropica,183,12213
Fulica americana,American Coot,fulica-americana,360,225
